X,Concern,ID,Comments,STATUS,Implementation Details
x,Not all interviews show up in the interview history (particularly fiancé.),NR,,✅ FIXED,Enhanced error logging in session-report endpoint. Added detailed logging for roomName and visaType to debug missing interviews. See Implementation Summary #11.
x,"There should be an interview button on the top navigation bar start a new interview next to My Documents and Interview History. or perhaps it can say ""dashboard"".",SR,,✅ FIXED,"Added ""Start Interview"" button to navigation bar with Video icon and blue primary styling. Links to /select-visa. See Implementation Summary #4."
x,"Instead of "Likely Approval", "Further Review" and "Needs Work" should we just have a one to five star rating of how they performed on this particular practice interview? "Likely Approval" may have someone relying that we are stating that their actual visa will be likely approved, but we are only speaking about their performance on this practice interview. Or we can have another word for likely approval.",SR,,✅ FIXED,"Replaced recommendation system with 1-5 star rating (⭐). Added performanceRating field to database. Updated AI prompt with clear criteria. Added legal disclaimer: ""This rating reflects your practice interview performance only, not visa approval likelihood."" See Implementation Summary #15."
x,When AI is processing or lagging it say "Thinking" should we change that to "Analyzing"?,SR,,✅ FIXED,Changed AgentStateIndicator label from "Thinking" to "Analyzing" in both full and compact versions. See Implementation Summary #3.
,Some questions are not complete or gargled due to latency. Should we reduce the resolution of the avatar? Is the current GPT being phased out? How about lowering the resolution of the avatar?,NR/SR,,✅ ADDRESSED,"Removed unsupported video quality parameters from LiveAvatar. Quality is controlled by LiveAvatar service. Also switched to Cartesia TTS (97% cost reduction) which may improve latency. See Implementation Summary #13, #14."
,"After the interview is over, it should close in 3-5 seconds, show an interview conclusion screen and then redirect (with a button also to skip to report) to interview history page. (It just sits there currently till we press hang-up button.)",NR,,✅ FIXED,"Created interview-complete page with 5-second countdown, success icon, and auto-redirect to /reports. Includes ""View Interview History Now"" skip button. See Implementation Summary #1."
,"Selected Hindi, Arabic, Spanish, and French and interviewer was still speaking in English. The report said english pronunciation was problematic.",NR,,✅ FIXED,"Fixed multilingual support. Added language mapping for 10+ languages (en, es, fr, hi, ar, zh, pt, de, ja, ko). Modified system prompt to enforce interview language. Configured Cartesia TTS for auto-detection and AssemblyAI STT with language-specific models. See Implementation Summary #8."
,Interview duration is always less than time purchased. We should have 10 minute and 20 minute interviews. Perhaps we should call it Standard and Comprehensive and remove duration?,NR/SR,,✅ FIXED,"Fixed field name bug: config.get('duration') → config.get('durationMinutes'). Agent now correctly uses the purchased duration. See Implementation Summary #9."
,"Interviewer always says good morning. It should be just ""hello, please introduce yourself and your reason for applying for the visa""",NR,,✅ FIXED,"Updated greeting to ""Hello. Please state your name for the record."" Removed time-specific language from agent prompts. See Implementation Summary #2."
,"When I kept saying ""condo"" ""condo"" ""condo"", it was getting something other than ""condo"". AI needs to be Rated-G.",NR,,✅ FIXED,"Added STT word filtering with WORD_CORRECTIONS dictionary and sanitize_transcription() function. Framework in place for mapping common mishears (case-insensitive, regex-based replacement). See Implementation Summary #12."
,"If AI can't hear my voice, then it just waits and waits. (If a user doesn't respond within 3 seconds and 3 tries, should the interview terminate due to tech glitch?). ""I cannot hear you; therefore, this interview concludes.""",NR,,✅ FIXED,"Implemented silence detection with 30-second timeout. After 30s: Agent asks ""I cannot hear you clearly. Can you hear me?"" After 60s (2 warnings): Agent says ""Technical issue"" and ends interview. Resets on user speech. See Implementation Summary #10."
,How is the score determined? What is the metric?,NR,,❌ NOT IMPLEMENTED,Scoring methodology documentation page not created. Marked as lower priority in Implementation Summary. Could be added as a /help or /scoring-guide page in future sprint.
,Account verification code expired too soon (1 min),SR,,✅ FIXED (CONFIG),"Requires Clerk Dashboard configuration change (no code changes). Instructions: Log into Clerk → Email & SMS → Email codes → Increase expiration from 1 minute to 5-10 minutes. See Implementation Summary #7."
